surface_m2,nb_etages,annee_construction,occupation_h_j,altitude_m,type_batiment,isolation,vitrage,chauffage,orientation,conso_kwh_m2,conso_totale_kwh,label_dpe
306,10,1951,22,36,commercial,moyen,double,gaz,S,108.2,33109,C
489,5,1938,22,265,residentiel,faible,double,pompe_chaleur,SE,147.8,72274,C
288,10,1946,8,271,commercial,fort,simple,bois,E,70.9,20419,B
308,13,1983,4,48,bureau,faible,triple,gaz,NE,62.6,19281,B
133,9,1998,13,43,residentiel,faible,simple,fioul,SO,89.1,11850,B
401,3,1996,5,37,industriel,moyen,double,pompe_chaleur,S,50.0,20050,A
214,10,2019,12,18,commercial,fort,simple,fioul,O,46.0,9844,A
60,12,1988,19,23,commercial,tres_fort,triple,elec,S,58.9,3534,B
437,10,1972,10,88,residentiel,fort,double,gaz,O,50.3,21981,B
541,10,1957,21,27,bureau,tres_fort,double,gaz,E,52.5,28402,B
690,7,1954,4,154,residentiel,fort,triple,pompe_chaleur,SO,62.3,42987,B
1118,3,1958,18,413,industriel,fort,simple,fioul,E,81.6,91229,B
421,11,2011,14,16,bureau,faible,triple,elec,NE,76.7,32291,B
351,6,1977,8,117,commercial,fort,simple,gaz,S,63.4,22253,B
525,4,1942,12,116,residentiel,faible,double,gaz,O,120.4,63210,C
132,7,1940,9,182,residentiel,faible,simple,elec,SE,140.0,18480,C
76,1,1922,16,41,bureau,faible,triple,fioul,NO,123.3,9371,C
175,8,2008,23,39,residentiel,fort,triple,gaz,E,65.2,11410,B
598,8,1942,14,225,commercial,fort,double,pompe_chaleur,SO,66.4,39707,B
154,6,1930,18,11,bureau,tres_fort,simple,elec,SE,73.5,11319,B
339,10,1950,16,188,commercial,tres_fort,double,fioul,O,64.0,21696,B
366,9,1970,20,136,residentiel,tres_fort,double,pompe_chaleur,SO,71.0,25986,B
290,6,2019,15,189,industriel,faible,double,gaz,S,62.6,18154,B
100,11,2009,12,46,commercial,tres_fort,simple,pompe_chaleur,E,34.3,3430,A
